Starting Balance: 100000.00
Trade 121: LOSS | Profit: -0.15 | Balance: 101418.53 | Win Rate: 0.4463
Trade 122: LOSS | Profit: -0.12 | Balance: 101408.41 | Win Rate: 0.4426
Trade 123: WIN | Profit: 0.50 | Balance: 101438.91 | Win Rate: 0.4472
Trade 124: WIN | Profit: 0.14 | Balance: 101469.04 | Win Rate: 0.4516
Trade 125: WIN | Profit: 0.25 | Balance: 101499.30 | Win Rate: 0.4560
Trade 126: LOSS | Profit: -0.02 | Balance: 101489.27 | Win Rate: 0.4524
Trade 127: LOSS | Profit: -0.11 | Balance: 101479.17 | Win Rate: 0.4488
Trade 128: WIN | Profit: 0.03 | Balance: 101509.19 | Win Rate: 0.4531
Trade 129: WIN | Profit: 0.14 | Balance: 101539.33 | Win Rate: 0.4574
Trade 130: LOSS | Profit: -0.12 | Balance: 101529.21 | Win Rate: 0.4538
Trade 131: LOSS | Profit: -0.40 | Balance: 101518.81 | Win Rate: 0.4504
Trade 132: LOSS | Profit: -0.58 | Balance: 101508.23 | Win Rate: 0.4470
Trade 133: LOSS | Profit: -0.16 | Balance: 101498.07 | Win Rate: 0.4436
Trade 134: LOSS | Profit: -0.19 | Balance: 101487.88 | Win Rate: 0.4403
Trade 135: LOSS | Profit: -0.26 | Balance: 101508.00 | Win Rate: 0.4370
Trade 136: LOSS | Profit: -0.03 | Balance: 101497.97 | Win Rate: 0.4338
Trade 137: LOSS | Profit: -0.16 | Balance: 101487.81 | Win Rate: 0.4307
Trade 138: LOSS | Profit: -0.01 | Balance: 101477.79 | Win Rate: 0.4275
Trade 139: LOSS | Profit: -0.59 | Balance: 101467.21 | Win Rate: 0.4245
Trade 140: WIN | Profit: 0.01 | Balance: 101497.22 | Win Rate: 0.4286
Trade 141: LOSS | Profit: -0.00 | Balance: 101487.22 | Win Rate: 0.4255
Trade 142: LOSS | Profit: -0.47 | Balance: 101476.75 | Win Rate: 0.4225
Trade 143: WIN | Profit: 0.24 | Balance: 101506.99 | Win Rate: 0.4266
Trade 144: LOSS | Profit: -0.17 | Balance: 101496.82 | Win Rate: 0.4236
Trade 145: LOSS | Profit: -0.04 | Balance: 101486.78 | Win Rate: 0.4207
Trade 146: WIN | Profit: 0.24 | Balance: 101547.46 | Win Rate: 0.4247
Trade 147: LOSS | Profit: -0.42 | Balance: 101537.04 | Win Rate: 0.4218
Trade 148: LOSS | Profit: -16.83 | Balance: 101510.21 | Win Rate: 0.4189
Trade 149: LOSS | Profit: -0.01 | Balance: 101500.20 | Win Rate: 0.4161
Trade 150: LOSS | Profit: -0.01 | Balance: 101520.22 | Win Rate: 0.4133
Trade 151: WIN | Profit: 0.88 | Balance: 101581.70 | Win Rate: 0.4172
Trade 152: LOSS | Profit: -0.16 | Balance: 101571.53 | Win Rate: 0.4145
Trade 153: WIN | Profit: 0.43 | Balance: 101601.97 | Win Rate: 0.4183
Trade 154: LOSS | Profit: -0.59 | Balance: 101591.38 | Win Rate: 0.4156
Trade 155: LOSS | Profit: -0.23 | Balance: 101581.15 | Win Rate: 0.4129
Trade 156: WIN | Profit: 0.03 | Balance: 101611.18 | Win Rate: 0.4167
Trade 157: LOSS | Profit: -0.04 | Balance: 101601.14 | Win Rate: 0.4140
Trade 158: WIN | Profit: 0.16 | Balance: 101631.30 | Win Rate: 0.4177
Trade 159: WIN | Profit: 0.13 | Balance: 101661.44 | Win Rate: 0.4214
Trade 160: WIN | Profit: 0.28 | Balance: 101691.71 | Win Rate: 0.4250
